RegionSiteCode,Region,SiteCode,SiteLatitude,SiteLongitude,SalinityMean,PrevalenceMean,SeverityMean,LesionAreaMean,Count,PrevalenceSd,PrevalenceSe,SeveritySd,SeveritySe,BladeAreaMean,LongestBladeLengthMean,LongestBladeWidthMean,SheathLengthMean,BladeAreaMeanForEpiphyteCalc,EpiphyteDryMassMean,EpiphytePerAreaMean,DensityShootsMean,PercentSeagrassMean,PercentBareMean,PercentOtherMean,SeagrassWetMassMean,MacroalgaeWetMassMean,SeagrassDryMassMean,MacroalgaeDryMassMean
BCE,BC,E,51.8939925,-128.234756666667,30.695,0.34453781512605,0.209709904130678,0.849924275894118,119,0.477226712813003,0.0437473010377394,0.166361155297906,0.0152503021025467,9.71212832310756,400.7,2.8,83.3,8.92618837353333,4.29999999999997e-4,2.15430861723445e-5,1728.66666666667,0.802916666666667,0.0691666666666667,0.12375,15.915,5.58916666666667,NA,NA
WAA,WA,A,48.4685835,-123.002751166667,34.6666666666667,0.575,0.0799346189889012,2.10314878711,120,0.496415724396973,0.0453163483587483,0.0813989076101355,0.00743066964239169,40.5863852663267,850.666666666667,6.38333333333333,162.633333333333,37.5957560750267,0.0106620689655173,2.93830283743463e-4,59.6666666666667,0.464583333333333,0.0708333333333333,0.5375,33.2895833333333,47.62575,NA,NA
WAB,WA,B,48.4829188333333,-123.074169833333,36.5,0.566666666666667,0.0501499147817888,1.68453318003333,120,0.497613351528119,0.0454256762579498,0.0641282690577621,0.00585408325611614,55.4276534706417,867.133333333333,8.1551724137931,168.568965517241,49.6058427682533,0.35517,0.0122654029607541,60,0.577083333333333,0.0229166666666667,0.55,62.2320833333333,35.89325,NA,NA
WAC,WA,C,48.691862625,-122.952464875,NA,0.991596638655462,0.305162417680265,10.0882885639479,119,0.0916698497028211,0.00840336134453782,0.188921947546846,0.0173184465371837,34.3656934248975,730.379310344828,6.53448275862069,162.206896551724,35.44815915,0.0553586206896551,0.00192179783322339,27.3333333333333,NA,NA,NA,22.841,3.65391666666667,NA,NA
WAD,WA,D,48.7046385833333,-123.054172833333,28.5,0.876106194690266,0.0767638714397984,2.07734349884248,113,0.330927898999591,0.0311310780519254,0.0807369523525167,0.00759509359277046,29.9185815409841,672.966666666667,5.73333333333333,158.6,27.95658755618,0.0721233333333333,0.00285820519593516,89.6666666666667,0.625,0.225,0.222916666666667,31.3081666666667,26.486,NA,NA
WAE,WA,E,48.5634330833333,-122.93541075,33.6666666666667,0.508333333333333,0.0249484236744717,0.898356552193333,120,0.502026704792614,0.0458285584474836,0.0250857565051957,0.00229000578499627,68.4732368873767,931.51724137931,9.05172413793103,191.758620689655,65.7249939865533,0.0756733333333334,0.00118724818339195,33.8333333333333,0.347916666666667,0.502083333333333,0.202083333333333,46.3805,30.913,NA,NA
ORA,OR,A,43.3460474166667,-124.3182655,NA,0.111111111111111,0.040359804645518,0.131423938729915,117,0.315621384316,0.0291792073021606,0.0188320657298565,0.00174102509261297,63.8543247863248,1126.56666666667,8.1,291.733333333333,65.7133666666667,0.2482,0.00349878406964061,81.4814814814815,0.24875,0.04625,0.12625,NA,NA,1.81133333333333,0.0175083333333333
ORB,OR,B,43.3592425,-124.3099615,NA,0.166666666666667,0.0873522958581578,0.20158297862,120,0.37424059428256,0.0341633359037828,0.0658030837123655,0.00600697221711056,71.807344025225,1165.2,7.5,279.633333333333,73.2921666666667,0.205056666666667,0.00258909503120567,89.8148148148148,0.229583333333333,0.02125,0.197916666666667,NA,NA,1.16991666666667,0.0154
ORC,OR,C,44.6128528333333,-124.013949916667,NA,0.191666666666667,0.0161486502165213,0.252005352591667,120,0.395262562099168,0.0360823702331668,0.0105294052021906,9.61198791058676e-4,96.1588333333333,1185.13333333333,9.23333333333333,288.1,89.049,0.3633,0.0038494394350546,49.7584541062802,0.225217391304348,0.0552173913043478,0.091304347826087,NA,NA,7.69841666666667,2.36666666666667
ORD,OR,D,44.6194586666667,-124.03266325,NA,0.341666666666667,0.0132504585724821,0.361198598348333,120,0.47625699815469,0.04347611684317,0.010722806944472,9.78853873876726e-4,87.0076666666667,1189.1,8.7,277.833333333333,80.3023333333333,0.33937,0.00396010228192651,67.5925925925926,0.248333333333333,0,0.243333333333333,NA,NA,8.30641666666667,4.99366666666667
ORE,OR,E,44.6231166666667,-124.023401083333,NA,0.176470588235294,0.00347705019653743,0.046379488697479,119,0.382831972336261,0.0350941493654996,0.00197250160925943,1.80818926059385e-4,73.9403361344538,906.966666666667,9.1,219.4,68.735,0.236933333333333,0.00338149055313386,56.0185185185185,0.249583333333333,0.188333333333333,0.107916666666667,NA,NA,6.8405,0.162083333333333
BBA,BB,A,38.3189895833333,-123.053722416667,34,0.754237288135593,0.0289330135173335,1.20452906107797,118,0.432374494965714,0.0398032985492043,0.0321828083859328,0.0029626676532775,60.2346649662339,983.1,6.56666666666667,185.033333333333,62.90771976144,0.0225333333333333,5.07633662382459e-4,679.333333333333,0.96875,0.0270833333333333,0.112916666666667,96.7356666666667,15.2764083333333,NA,NA
BBB,BB,B,38.3334720808333,-123.059497083333,34,0.775,0.0549531779401714,2.32387386467333,120,0.419333204187856,0.0382797091741014,0.0817722746128905,0.00746475323066452,66.697980239275,980.9,7.76666666666667,151.333333333333,57.5621537999,0.0128195402298851,2.27312885232414e-4,276.273148148148,0.799166666666667,0.200833333333333,0,94.3323333333333,0,NA,NA
BBC,BB,C,38.2046170691667,-122.926828916667,30,0.6,0.0341593680011697,0.342004214455,120,0.491952037014473,0.0449088713139072,0.0470545693622442,0.00429547484556543,20.077240310015,363.3,5.71666666666667,85.3,21.1379246592,0.0198666666666667,9.58764590517111e-4,256.666666666667,0.61375,0.38625,0.6625,34.8468333333333,23.6300833333333,NA,NA
BBD,BB,D,38.309959495,-123.0589845,34,0.92436974789916,0.0768523207258617,5.60973423176975,119,0.26552359100867,0.0243405076803181,0.0735758007081959,0.00674468259268504,79.583025210084,1078.3,8.41666666666667,213.133333333333,86.632,0.06041,6.51586817864942e-4,210,0.608333333333333,0.391666666666667,0.0383333333333333,68.8650833333333,1.27083333333333,NA,NA
BBE,BB,E,38.1050604991667,-122.846488333333,32,0.108333333333333,0.029465061967111,0.067522217655,120,0.312104090946329,0.028491075150158,0.0232435451957776,0.00212183567001971,24.3994676053333,387.533333333333,6.71666666666667,105.366666666667,24.0863704213333,0.0158819480742231,6.47628840913173e-4,235.333333333333,0.689583333333333,0.310416666666667,0.169166666666667,36.7975,17.9710833333333,NA,NA
BBF,BB,F,38.1784375633333,-122.908765916667,34,0.891666666666667,0.0742908532067114,1.92094371376833,120,0.312104090946329,0.028491075150158,0.103863704303132,0.0094814156254786,25.10276511605,443.3,6.1,95.2,26.563,0.0141833333333333,0.00065888576823038795,350.666666666667,0.905416666666667,0.0945833333333333,8.33333333333333e-4,37.7675833333333,0.3565,NA,NA
SDA,SD,A,32.6256766666667,-117.106445,35,0.46875,0.137396557804326,0.316585536002083,96,0.501642040544954,0.0511986263693203,0.13045720861687,0.0133147330991312,4.89907502693333,181.1,3.46666666666667,37.1333333333333,NA,0.0213766666666667,NA,125.333333333333,0.454166666666667,0.545833333333333,0,19.3050833333333,0,3.21316666666667,NA
SDB,SD,B,32.7716433333333,-117.219616666667,35,0.625,0.350307185039715,1.45057883599792,96,0.486664263392288,0.0496699633899391,0.261332501507358,0.026672136745756,5.50543175947083,275,2.73333333333333,61.2333333333333,NA,0.02427,NA,159.333333333333,0.660416666666667,0.360416666666667,0,43.9371666666667,0,4.93108333333333,NA
SDC,SD,C,32.97055675,-117.251792083333,34,0.59375,0.0854822531274359,0.612825672279167,96,0.493710441453287,0.0503891109268659,0.105751390639568,0.0107932061106949,11.7315158398771,456.433333333333,3.53333333333333,98.6,NA,0.0220633333333333,NA,124,0.80625,0.19375,0,43.87,0,6.56616666666667,NA
SDD,SD,D,32.71420525,-117.22514025,34,0.308510638297872,0.0878623907983565,0.151264291402128,94,0.464355160345369,0.0478945778190122,0.0708931354792385,0.00731206861471896,6.38104354946809,313.5,3.1,92.4666666666667,NA,0.0339035714285714,NA,176.666666666667,0.860416666666667,0.139583333333333,0,37.9269166666667,0,6.24133333333333,NA
SDE,SD,E,32.7895866666667,-117.231115166667,35,0.447916666666667,0.160680954654058,0.2853322274625,96,0.499890338851626,0.0510198440638943,0.138272565788348,0.0141123846502863,3.86706790269792,191.933333333333,2.76666666666667,33.6,NA,0.03261,NA,210.666666666667,0.752083333333333,0.247916666666667,0,45.54,0,10.2325,NA
